# Citizen Ledger — departments of Health and Human Services, FY 2025-26
# Source dataset: Enacted state budgets, Budgetary-Legal basis (California Department of Finance, ebudget.ca.gov)
# Accounting basis: enacted appropriations, Budgetary-Legal basis (not actual expenditures)
# Data generated: 2026-07-14 · exported: 2026-07-17
# View: state funds (General + special + bond)
# Permalink: https://citizen-ledger.github.io/ca-ledger/index.html#a=health-and-human-service&dd=4260
# Units: billions of dollars, except Share (percent) and Per resident (dollars)
Department,General Fund ($B),Special Funds ($B),Bond Funds ($B),Total ($B),Share of total (%),Per resident ($)
State Department of Health Care Services,45.604,28.286,0.450,74.340,56.0,1878
Department of Social Services,24.542,0.039,0.000,24.581,18.5,621
Department of Developmental Services,12.165,0.002,0.000,12.167,9.2,307
"State-Local Realignment, 1991",0.000,7.763,0.000,7.763,5.8,196
"State-Local Realignment, 2011",0.044,6.641,0.000,6.685,5.0,169
Department of State Hospitals,2.990,0.000,0.000,2.990,2.3,76
Department of Public Health,0.799,1.242,0.000,2.041,1.5,52
Dept Health Care Access and Information,0.164,0.343,0.000,0.507,0.4,13
Department of Child Support Services,0.371,0.000,0.000,0.371,0.3,9
Children and Families Commission,0.000,0.270,0.000,0.270,0.2,7
"Health, Human Services Agency, Secy",0.262,0.003,0.000,0.265,0.2,7
California Health Benefit Exchange,0.020,0.192,0.000,0.212,0.2,5
Department of Managed Health Care,0.000,0.180,0.000,0.180,0.1,5
California Department of Aging,0.163,0.005,0.000,0.168,0.1,4
Department of Rehabilitation,0.084,0.004,0.000,0.088,0.1,2
Behavioral Hlth Svcs Ovrst Acntblty Comm,0.000,0.049,0.000,0.049,0.0,1
Emergency Medical Services Authority,0.036,0.006,0.000,0.042,0.0,1
Community Services and Development,0.000,0.000,0.000,0.000,0.0,0
State Council-Developmental Disabilities,0.000,0.000,0.000,0.000,0.0,0
Commission on Aging,0.000,0.000,0.000,0.000,0.0,0
California Senior Legislature,0.000,0.000,0.000,0.000,0.0,0
State Independent Living Council,0.000,0.000,0.000,0.000,0.0,0
All departments,87.244,45.025,0.450,132.719,100.0,3352
