# Citizen Ledger — enacted vs. actual, by agency, FY 2024-25
# Source dataset: Enacted state budgets, Budgetary-Legal basis (California Department of Finance, ebudget.ca.gov)
# Accounting basis: BOTH columns Budgetary-Legal — enacted appropriations at Budget Act signing; actual expenditures as published in the 2026-27 Governor's Budget (DOF Schedule 9), unaudited
# The difference reflects mid-year legislation, re-appropriations, carryover, reversions, and fund reclassifications between publications; it is not a judgment of any kind
# Data generated: 2026-07-14 · exported: 2026-07-17
# View: state funds (General + special + bond)
# Permalink: https://citizen-ledger.github.io/ca-ledger/index.html#v=actuals&y=2024-25
# Units: billions of dollars
Agency,Enacted ($B),Actual ($B),Difference ($B),Difference (%)
Health and Human Services,114.719,122.111,7.392,6.4
K thru 12 Education,81.647,87.358,5.711,7.0
Higher Education,24.184,23.849,-0.335,-1.4
Transportation,19.844,20.354,0.510,2.6
Corrections and Rehabilitation,18.177,17.799,-0.378,-2.1
"Legislative, Judicial, and Executive",10.440,9.698,-0.742,-7.1
Natural Resources,9.038,12.915,3.877,42.9
General Government,6.094,9.700,3.606,59.2
Environmental Protection,4.931,5.526,0.595,12.1
"Business, Consumer Services, and Housing",3.444,4.372,0.928,26.9
Government Operations,3.192,3.709,0.517,16.2
Labor and Workforce Development,2.150,1.759,-0.391,-18.2
